kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_sma,koi_incl,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,koi_smet,koi_kepmag,koi_srho
K05983.01,FALSE POSITIVE,8.412008943,5.41096,136113.0,0.539,5696.2,50.83,1100.0,345.76,0.0825,87.91,0.354243,6247.0,4.225,1.314,1.057,-0.2,13.551,0.8635
K05984.01,FALSE POSITIVE,3.912679136,3.556,291510.0,23.127,1229.9,1794.2,1018.0,253.12,0.0427,64.31,22.820008,5616.0,4.553,0.72,0.675,-0.98,14.756,187.57475
K05985.01,FALSE POSITIVE,7.544804312,8.2678,6501.7,1.266,587.2,63.99,1233.0,546.03,0.073,70.38,0.364181,5953.0,3.984,1.609,0.91,-0.56,12.92,0.01781
K05986.01,FALSE POSITIVE,1.946198513,4.0336,130722.0,0.249,902.8,52.58,1853.0,2779.44,0.0315,87.09,0.336034,6224.0,4.165,1.433,1.094,-0.14,13.993,0.58915
K05988.01,FALSE POSITIVE,30.4838006,2.6,18441.0,1.222,9.4,23.87,315.0,2.32,0.1552,88.89,0.411601,3857.0,4.717,0.531,0.535,-0.1,15.021,5.16796
K05989.01,FALSE POSITIVE,5.7584367,2.587,736.6,0.101,26.8,66.22,3389.0,31195.25,0.0968,89.67,0.02398,4754.0,2.194,25.287,3.644,0.07,13.819,2.97176
K05990.01,FALSE POSITIVE,25.9522913,10.977,557.8,0.142,14.0,2.03,567.0,24.49,0.1696,89.55,0.02145,5692.0,4.547,0.866,0.965,-0.04,15.999,0.17154
K05991.01,FALSE POSITIVE,8.58599537,2.4078,818.0,0.316,36.9,39.03,2319.0,6831.52,0.1165,89.32,0.025638,4805.0,2.605,13.941,2.853,0.21,11.598,4.82515
K05992.01,FALSE POSITIVE,9.892240848,4.1774,5283.2,1.28,314.0,40.38,907.0,160.25,0.0924,81.58,0.366502,6225.0,4.461,1.009,1.07,-0.18,13.664,0.12921
K05993.01,FALSE POSITIVE,4.264729569,2.2075,22672.0,0.924,201.6,29.95,1428.0,983.86,0.0495,85.27,0.19358,6052.0,4.084,1.417,0.887,-0.58,12.873,1.45985
K05994.01,FALSE POSITIVE,4.804469712,3.51946,132624.0,0.567,1177.8,30.97,958.0,198.67,0.0531,87.47,0.350543,5561.0,4.558,0.809,0.864,-0.22,14.654,1.72553
K05995.01,FALSE POSITIVE,6.150529292,4.4562,2417.1,1.236,301.4,49.79,1421.0,964.26,0.0675,72.57,0.291326,6691.0,4.084,1.565,1.083,-0.58,13.303,0.03518
K05996.01,FALSE POSITIVE,4.944927575,3.4648,1028.7,1.215,62.5,19.43,728.0,66.56,0.0504,70.33,0.253805,4428.0,4.59,0.701,0.697,0.14,14.928,0.03635
K05997.01,FALSE POSITIVE,4.442517008,2.43922,25341.5,0.936,396.2,26.08,1258.0,593.85,0.0548,85.02,0.21339,6316.0,4.387,1.119,1.109,-0.1,11.297,1.20478
K05998.01,FALSE POSITIVE,62.7356439,10.7925,243702.0,0.73,1115.3,90.12,590.0,28.65,0.3105,89.32,0.573105,6211.0,4.127,1.44,1.013,-0.34,14.27,1.13981
K05999.01,FALSE POSITIVE,7.035518449,3.5286,2139.0,1.268,91.5,24.91,782.0,88.6,0.0631,77.34,0.321339,5288.0,4.566,0.71,0.675,-0.64,14.884,0.07402
K06000.01,FALSE POSITIVE,12.4297161,15.078,192.7,0.293,13.3,1.26,742.0,71.78,0.1058,87.27,0.0127,5754.0,4.534,0.905,1.021,0.07,15.842,0.02832
K06001.01,FALSE POSITIVE,12.4288476,16.43,165.4,0.031,15.2,1.12,725.0,65.27,0.1027,89.7,0.011609,5595.0,4.513,0.886,0.933,0.0,15.47,0.02481
K06002.01,FALSE POSITIVE,12.4258252,21.841,130.2,0.689,30.0,1.27,822.0,108.1,0.1074,78.01,0.011099,5968.0,4.426,1.048,1.069,0.07,14.332,0.00447
K06003.01,FALSE POSITIVE,12.4257907,19.859,340.1,0.384,28.2,1.27,589.0,28.51,0.0922,85.16,0.016742,4873.0,4.586,0.693,0.676,-0.32,15.71,0.01154
K06004.01,FALSE POSITIVE,12.4253356,27.49,374.4,0.966,35.4,2.02,683.0,51.57,0.0966,50.88,0.023678,5442.0,4.541,0.783,0.778,-0.36,15.539,0.00044
K06005.01,FALSE POSITIVE,12.4254201,18.56,144.5,0.428,24.9,0.84,659.0,44.57,0.0961,84.82,0.011191,5571.0,4.643,0.691,0.776,-0.7,14.667,0.01301
K06006.01,FALSE POSITIVE,12.424995,20.282,51.5,0.746,21.4,2.06,1293.0,660.61,0.115,76.84,0.007111,6098.0,3.707,2.657,1.313,-0.32,13.262,0.00431
K06007.01,FALSE POSITIVE,12.4227918,27.29,202.6,0.979,15.5,1.44,634.0,38.29,0.097,45.29,0.018364,5279.0,4.62,0.72,0.796,-0.32,15.955,0.00033
K06008.01,FALSE POSITIVE,12.426469,25.71,180.5,0.978,24.2,1.66,729.0,66.74,0.1052,46.92,0.017107,5691.0,4.544,0.887,1.003,0.07,15.178,0.00036
K06009.01,FALSE POSITIVE,12.4262889,18.764,94.2,0.879,20.5,1.23,864.0,131.83,0.111,70.89,0.010301,6246.0,4.433,1.092,1.18,0.07,14.285,0.00237
K06010.01,FALSE POSITIVE,12.424747,25.24,139.0,0.976,30.7,1.35,691.0,53.94,0.1023,47.54,0.014934,5514.0,4.569,0.826,0.926,-0.04,14.418,0.00037
K06011.01,FALSE POSITIVE,12.4255705,28.88,139.4,0.984,21.1,1.37,721.0,63.95,0.102,40.91,0.015196,5742.0,4.564,0.827,0.921,-0.24,14.961,0.00027
