kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_sma,koi_incl,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,koi_smet,koi_kepmag,koi_srho
K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,0.818,4304.3,13.04,1339.0,761.46,0.0354,84.41,0.123871,5820.0,4.457,0.964,0.971,-0.06,11.338,1.83538
K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,0.224,5945.9,16.1,2048.0,4148.92,0.0376,87.21,0.075522,6440.0,4.019,1.952,1.449,0.14,10.463,0.37936
K00003.01,CONFIRMED,4.887803076,2.36255,4315.8,0.054,862.3,4.82,800.0,96.67,0.053,89.82,0.057823,4778.0,4.591,0.763,0.83,0.32,9.174,3.69348
K00004.01,CONFIRMED,3.849371737,2.632,1298.6,0.915,132.7,12.94,2034.0,4055.29,0.0548,80.61,0.039601,6244.0,3.657,2.992,1.482,-0.16,11.432,0.22463
K00007.01,CONFIRMED,3.213668926,3.98235,727.8,0.021,346.9,4.13,1515.0,1244.44,0.044,89.81,0.02447,5795.0,4.101,1.545,1.097,0.18,12.211,0.46728
K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,0.631,1741.5,14.59,1521.0,1264.67,0.0473,85.2,0.092086,6225.0,4.169,1.451,1.132,-0.04,13.563,0.65374
K00012.01,CONFIRMED,17.855221681,7.41287,9065.2,0.075,915.7,13.16,911.0,163.04,0.1491,89.79,0.08815,6823.0,4.308,1.367,1.386,0.07,11.353,0.47367
K00013.01,CONFIRMED,1.763587535,3.16877,4590.6,0.512,4061.9,21.42,3559.0,37958.27,0.0386,82.71,0.064717,9107.0,3.867,3.031,2.466,0.07,9.958,0.4004
K00017.01,CONFIRMED,3.234699282,3.59385,10558.7,0.079,3003.8,13.06,1356.0,797.62,0.0435,89.4,0.092633,5640.0,4.236,1.291,1.047,0.34,13.303,0.76885
K00018.01,CONFIRMED,3.548465446,4.56904,7251.5,0.075,2486.5,14.92,1640.0,1708.28,0.05,89.33,0.078272,6290.0,4.074,1.746,1.319,0.04,13.369,0.3962
K00020.01,CONFIRMED,4.437962934,4.69813,16387.6,0.069,3535.6,18.05,1338.0,757.65,0.0545,89.51,0.116814,5953.0,4.175,1.415,1.093,0.08,13.438,0.50482
K00022.01,CONFIRMED,7.891448838,4.2854,10344.6,0.306,1955.1,12.63,1028.0,263.54,0.0813,88.81,0.093464,5972.0,4.313,1.237,1.148,0.24,13.435,0.98147
K00041.01,CONFIRMED,12.81590421,6.3856,220.5,0.58,106.7,2.26,939.0,183.68,0.109,87.4,0.014067,5788.0,4.122,1.474,1.05,0.1,11.197,0.23998
K00041.02,CONFIRMED,6.88707073,4.4679,68.7,0.696,38.2,1.3,1155.0,420.97,0.072,85.37,0.008082,5788.0,4.122,1.474,1.05,0.1,11.197,0.25585
K00041.03,CONFIRMED,35.3331932,5.966,99.7,0.656,28.8,1.55,670.0,47.52,0.2143,88.92,0.009621,5788.0,4.122,1.474,1.05,0.1,11.197,0.63393
K00042.01,CONFIRMED,17.83367834,4.5112,326.9,0.013,154.5,2.43,866.0,132.94,0.1424,89.97,0.016638,6407.0,4.268,1.337,1.208,0.0,9.364,1.72198
K00046.01,CONFIRMED,3.487688776,3.83661,1298.8,0.026,350.6,5.64,1445.0,1033.07,0.0461,89.79,0.032422,5576.0,4.065,1.593,1.074,0.3,13.77,0.57862
K00046.02,CONFIRMED,6.02977241,3.961,54.6,0.379,11.5,1.18,1204.0,496.46,0.0665,88.0,0.006767,5576.0,4.065,1.593,1.074,0.3,13.77,0.66776
K00049.01,CONFIRMED,8.31377304,2.964,837.4,0.002,19.6,2.74,886.0,145.51,0.0821,89.99,0.026357,5900.0,4.509,0.951,1.065,0.07,13.704,2.91336
K00063.01,CONFIRMED,9.43414171,2.8112,3977.0,0.538,40.2,5.73,791.0,92.39,0.0858,88.68,0.059248,5578.0,4.518,0.886,0.943,0.04,11.582,2.725
K00069.01,CONFIRMED,4.72674037,2.9267,273.1,0.657,287.8,1.56,1028.0,264.08,0.0525,86.08,0.015943,5648.0,4.472,0.894,0.866,-0.2,9.931,0.74833
K00070.01,CONFIRMED,10.854095934,3.7768,1034.4,0.422,252.8,2.99,765.0,80.88,0.0919,88.83,0.029604,5465.0,4.449,0.925,0.876,0.02,12.498,1.41039
K00070.02,CONFIRMED,3.696121272,2.463,383.4,0.016,130.0,1.78,1095.0,340.33,0.0448,89.92,0.017627,5465.0,4.449,0.925,0.876,0.02,12.498,2.20611
K00070.03,CONFIRMED,77.6114427,7.1786,814.5,0.094,100.5,2.59,397.0,5.87,0.3411,89.94,0.02568,5465.0,4.449,0.925,0.876,0.02,12.498,1.88554
K00070.04,CONFIRMED,6.09855603,2.9815,84.4,0.21,24.8,0.84,927.0,174.3,0.0626,89.22,0.008309,5465.0,4.449,0.925,0.876,0.02,12.498,1.86534
K00070.05,CONFIRMED,19.5776073,3.382,98.1,0.049,17.2,0.9,628.0,36.82,0.1362,89.94,0.008912,5465.0,4.449,0.925,0.876,0.02,12.498,4.36916
K00072.01,CONFIRMED,0.837491225,1.796,190.4,0.022,189.5,1.43,1980.0,3630.32,0.0167,89.65,0.012545,5676.0,4.347,1.044,0.884,-0.12,10.961,1.31582
K00072.02,CONFIRMED,45.29422297,6.83,477.1,0.025,134.8,2.26,524.0,17.75,0.2388,89.97,0.019806,5676.0,4.347,1.044,0.884,-0.12,10.961,1.27076
K00082.01,CONFIRMED,16.145671932,3.7236,941.1,0.75,242.7,2.48,546.0,20.98,0.1162,88.17,0.030636,4900.0,4.602,0.741,0.806,0.08,11.492,0.93462
K00082.02,CONFIRMED,10.31174786,3.1818,275.9,0.747,81.7,1.34,634.0,38.13,0.0862,87.5,0.016563,4900.0,4.602,0.741,0.806,0.08,11.492,0.89031
K00082.03,CONFIRMED,27.4536146,3.747,136.4,0.765,27.5,0.95,457.0,10.34,0.1655,88.82,0.011753,4900.0,4.602,0.741,0.806,0.08,11.492,1.27833
K00082.04,CONFIRMED,7.07136119,2.757,65.7,0.658,22.4,0.63,719.0,63.11,0.067,87.48,0.007798,4900.0,4.602,0.741,0.806,0.08,11.492,1.27319
K00082.05,CONFIRMED,5.28691996,2.579,41.5,0.705,15.8,0.51,792.0,92.97,0.0552,86.41,0.006312,4900.0,4.602,0.741,0.806,0.08,11.492,0.96999
K00084.01,CONFIRMED,9.286964466,3.3649,691.7,0.004,251.9,2.1,762.0,79.68,0.0835,89.99,0.023784,5546.0,4.575,0.81,0.907,-0.14,11.898,2.20846
K00085.01,CONFIRMED,5.859935955,4.0185,322.8,0.049,186.7,2.56,1246.0,569.5,0.0682,89.75,0.016453,6181.0,4.22,1.424,1.231,0.14,11.018,0.80033
K00085.02,CONFIRMED,2.154911236,3.1341,99.7,0.113,83.0,1.42,1740.0,2162.35,0.035,88.77,0.009153,6181.0,4.22,1.424,1.231,0.14,11.018,0.60657
K00085.03,CONFIRMED,8.13121389,4.2386,111.8,0.622,55.3,1.58,1117.0,368.36,0.0848,86.95,0.010132,6181.0,4.22,1.424,1.231,0.14,11.018,0.45775
K00087.01,CONFIRMED,289.864067,7.565,529.1,0.856,57.4,2.34,257.0,1.03,0.7961,89.7,0.024234,5516.0,4.446,0.886,0.799,-0.26,11.664,1.00734
K00089.01,CONFIRMED,84.6877524,10.0248,347.7,0.017,95.1,3.37,611.0,32.96,0.4172,89.99,0.017238,6688.0,4.062,1.79,1.353,-0.2,11.642,0.74607
K00089.02,CONFIRMED,207.5829306,7.0686,505.1,0.84,70.0,4.52,453.0,9.97,0.7584,89.63,0.023144,6688.0,4.062,1.79,1.353,-0.2,11.642,0.9882
K00092.01,CONFIRMED,65.7045275,3.3104,636.1,0.663,70.4,2.78,472.0,11.72,0.3192,89.68,0.024389,5918.0,4.403,1.043,1.003,-0.04,11.667,7.27164
K00094.01,CONFIRMED,22.342964828,6.66405,5612.8,0.031,1118.9,9.99,785.0,89.61,0.1607,89.93,0.068705,6181.0,4.234,1.331,1.106,-0.02,12.205,0.77681
K00094.02,CONFIRMED,10.423677439,5.2257,777.3,0.005,204.4,3.72,1012.0,247.48,0.0967,89.98,0.025563,6181.0,4.234,1.331,1.106,-0.02,12.205,0.66594
K00094.03,CONFIRMED,54.31996151,8.5858,1975.0,0.497,291.3,6.07,584.0,27.4,0.2906,89.36,0.041779,6181.0,4.234,1.331,1.106,-0.02,12.205,0.55625
K00094.04,CONFIRMED,3.743166733,3.6888,126.3,0.008,47.2,1.5,1423.0,971.76,0.0488,89.94,0.010306,6181.0,4.234,1.331,1.106,-0.02,12.205,0.654
K00097.01,CONFIRMED,4.885488596,5.16165,7458.4,0.361,2590.1,16.66,1496.0,1182.79,0.0605,87.2,0.079898,6036.0,3.968,1.909,1.236,0.1,12.885,0.32016
K00098.01,CONFIRMED,6.790120801,6.0437,2302.3,0.486,526.1,9.86,1434.0,998.97,0.0769,86.5,0.045139,6372.0,3.954,2.001,1.313,0.04,12.128,0.2079
K00102.01,CONFIRMED,1.73513619,2.2741,952.6,0.045,473.2,3.27,1554.0,1372.87,0.0286,89.57,0.027957,5751.0,4.391,1.071,1.028,0.21,12.566,1.36796
K00102.02,CONFIRMED,4.06844957,2.8349,79.8,0.55,29.3,0.98,1170.0,442.08,0.0504,86.61,0.008409,5751.0,4.391,1.071,1.028,0.21,12.566,0.91819
K00103.01,CONFIRMED,14.91095177,3.325,864.5,0.014,116.9,2.62,694.0,54.87,0.1159,89.98,0.026641,5650.0,4.5,0.899,0.932,-0.04,12.593,3.70254
K00104.01,CONFIRMED,2.508057497,1.1134,1507.6,0.742,312.7,3.25,997.0,234.06,0.034,86.61,0.039108,4780.0,4.597,0.761,0.835,0.34,12.895,5.95213
K00105.01,CONFIRMED,8.981014925,1.8478,1059.3,0.097,198.3,3.14,880.0,141.77,0.078,89.85,0.029697,5666.0,4.362,0.967,0.785,-0.4,12.87,12.93802
K00107.01,CONFIRMED,7.256962446,4.9402,463.2,0.676,168.3,3.53,1163.0,432.1,0.0765,85.51,0.020856,5858.0,4.112,1.549,1.133,0.22,12.702,0.23039
K00108.01,CONFIRMED,15.96532718,4.5837,482.2,0.674,144.2,3.33,872.0,136.42,0.1269,88.11,0.021282,5880.0,4.154,1.433,1.068,0.08,12.287,0.63287
K00108.02,CONFIRMED,179.609803,13.755,1273.0,0.711,184.6,5.47,389.0,5.41,0.6372,89.46,0.034951,5880.0,4.154,1.433,1.068,0.08,12.287,0.24738
K00110.01,CONFIRMED,9.940666412,3.9092,520.2,0.02,161.4,2.87,996.0,233.04,0.0953,89.94,0.020908,6215.0,4.305,1.259,1.17,0.08,12.663,1.4944
K00111.01,CONFIRMED,11.427550984,4.6074,500.9,0.608,165.5,2.35,852.0,124.31,0.0964,87.76,0.021404,5979.0,4.394,1.005,0.913,-0.34,12.596,0.5464
K00111.02,CONFIRMED,23.66834635,5.8297,449.4,0.758,112.8,2.32,668.0,47.11,0.1566,87.95,0.021099,5979.0,4.394,1.005,0.913,-0.34,12.596,0.32337
K00111.03,CONFIRMED,51.75530504,7.4355,609.2,0.638,116.9,2.61,515.0,16.6,0.2638,89.14,0.023742,5979.0,4.394,1.005,0.913,-0.34,12.596,0.5448
K00112.01,CONFIRMED,51.07926451,6.3729,736.8,0.017,126.8,2.75,503.0,15.17,0.2671,89.98,0.024683,5833.0,4.407,1.022,0.974,-0.04,12.772,1.79031
K00112.02,CONFIRMED,3.709214104,2.6302,131.1,0.051,50.6,1.16,1206.0,500.46,0.0465,89.73,0.010424,5833.0,4.407,1.022,0.974,-0.04,12.772,1.77451
K00115.01,CONFIRMED,5.412203927,2.9472,601.6,0.787,166.7,2.94,1093.0,337.68,0.0591,85.12,0.024775,5779.0,4.339,1.087,0.941,-0.06,12.791,0.51087
K00115.02,CONFIRMED,7.12594387,3.0014,192.4,0.898,47.1,1.79,997.0,233.31,0.0711,84.02,0.01512,5779.0,4.339,1.087,0.941,-0.06,12.791,0.23879
K00116.01,CONFIRMED,13.57078281,3.3539,511.7,0.866,88.4,2.64,785.0,89.61,0.1096,87.07,0.023908,5854.0,4.406,1.012,0.951,-0.12,12.882,0.49865
K00116.02,CONFIRMED,43.84439721,6.802,615.2,0.852,83.7,2.87,531.0,18.77,0.2395,88.27,0.025934,5854.0,4.406,1.012,0.951,-0.12,12.882,0.22039
K00116.03,CONFIRMED,6.164876,3.262,55.8,0.646,14.4,0.79,1021.0,256.35,0.0648,86.69,0.007192,5854.0,4.406,1.012,0.951,-0.12,12.882,0.69664
K00116.04,CONFIRMED,23.9800854,5.351,104.0,0.95,17.1,1.31,649.0,41.94,0.1602,85.45,0.011879,5854.0,4.406,1.012,0.951,-0.12,12.882,0.05654
K00117.01,CONFIRMED,14.74914825,6.0995,430.2,0.173,107.4,2.89,874.0,137.91,0.1221,89.47,0.018864,5847.0,4.191,1.402,1.113,0.26,12.487,0.55575
K00117.02,CONFIRMED,4.90144976,4.1654,140.7,0.529,50.6,1.7,1262.0,598.74,0.0586,86.1,0.011136,5847.0,4.191,1.402,1.113,0.26,12.487,0.3709
K00117.03,CONFIRMED,3.180027898,3.5797,120.3,0.196,50.4,1.53,1458.0,1066.86,0.0439,88.34,0.009989,5847.0,4.191,1.402,1.113,0.26,12.487,0.5756
K00117.04,CONFIRMED,7.95825328,4.377,50.0,0.706,14.7,1.06,1074.0,314.15,0.0809,85.95,0.006915,5847.0,4.191,1.402,1.113,0.26,12.487,0.29918
K00118.01,CONFIRMED,24.99324319,5.9409,269.6,0.686,62.0,2.29,712.0,60.88,0.1651,88.37,0.015956,5718.0,4.181,1.317,0.961,0.0,12.377,0.42385
K00119.01,CONFIRMED,49.18394185,11.3364,1646.2,0.035,355.7,8.2,669.0,47.4,0.2829,89.94,0.036501,5626.0,3.907,2.057,1.247,0.36,12.654,0.31666
K00119.02,CONFIRMED,190.3200468,15.284,1141.7,0.812,139.3,7.78,426.0,7.8,0.6972,89.24,0.034654,5626.0,3.907,2.057,1.247,0.36,12.654,0.11866
K00122.01,CONFIRMED,11.523067458,3.8757,507.3,0.0,142.0,3.13,927.0,174.81,0.1017,90.0,0.020288,5644.0,4.162,1.411,1.053,0.3,12.346,1.77474
K00123.01,CONFIRMED,6.481633073,3.784,298.5,0.833,125.6,2.54,1145.0,406.25,0.0683,83.8,0.017836,5945.0,4.213,1.302,1.009,-0.08,12.365,0.20633
K00123.02,CONFIRMED,21.22261195,6.5093,366.0,0.02,114.9,2.48,771.0,83.56,0.1506,89.96,0.01746,5945.0,4.213,1.302,1.009,-0.08,12.365,0.68373
K00124.01,CONFIRMED,12.69104387,3.7727,252.1,0.008,60.2,2.57,1008.0,244.3,0.1072,89.98,0.014487,5869.0,4.024,1.626,1.019,-0.16,12.935,2.08259
K00124.02,CONFIRMED,31.71981013,4.819,363.4,0.125,63.1,3.09,743.0,71.97,0.1975,89.86,0.017414,5869.0,4.024,1.626,1.019,-0.16,12.935,2.4614
K00125.01,CONFIRMED,38.47876629,5.04169,23530.0,0.003,1077.8,13.26,484.0,13.01,0.2213,90.0,0.138123,5510.0,4.539,0.879,0.973,0.16,13.779,3.7339
K00127.01,CONFIRMED,3.578780566,2.91089,11382.2,0.079,1838.4,10.43,1145.0,406.6,0.045,89.56,0.096067,5524.0,4.421,0.994,0.95,0.2,13.938,1.60801
K00128.01,CONFIRMED,4.942783419,3.25346,11144.7,0.566,2040.7,10.62,1008.0,244.42,0.0569,87.04,0.099444,5514.0,4.459,0.978,1.003,0.36,13.758,1.02216
K00129.01,CONFIRMED,24.669192732,7.03515,7382.3,0.073,603.0,77.76,1485.0,1150.61,0.2322,89.85,0.076351,5313.0,2.936,9.327,2.736,0.56,13.224,0.74047
K00131.01,CONFIRMED,5.014234733,4.589,6536.0,0.066,794.3,10.63,1308.0,692.13,0.0626,89.58,0.074468,6490.0,4.32,1.307,1.304,0.16,13.797,0.5437
K00134.01,CONFIRMED,67.5923754,12.249,4158.1,0.728,60.9,12.1,588.0,28.2,0.3582,88.73,0.063536,6038.0,4.082,1.744,1.341,0.34,13.675,0.14489
K00135.01,CONFIRMED,3.024092505,2.8021,7765.0,0.424,1225.3,12.14,1489.0,1162.54,0.0438,87.05,0.081878,6063.0,4.261,1.358,1.227,0.34,13.958,1.15632
K00137.01,CONFIRMED,7.641567589,3.41018,2269.7,0.027,437.5,4.91,899.0,154.25,0.0729,89.91,0.042627,5356.0,4.338,1.055,0.882,0.2,13.549,1.8432
K00137.02,CONFIRMED,14.85890852,3.5252,3269.0,0.255,456.8,5.94,720.0,63.52,0.1136,89.56,0.05159,5356.0,4.338,1.055,0.882,0.2,13.549,3.04001
K00137.03,CONFIRMED,3.504691252,1.9811,315.1,0.741,67.5,2.03,1165.0,435.21,0.0434,85.52,0.017643,5356.0,4.338,1.055,0.882,0.2,13.549,1.30835
K00139.01,CONFIRMED,224.7789355,11.1899,3487.5,0.652,235.7,7.67,333.0,2.92,0.7456,89.71,0.056891,5873.0,4.293,1.235,1.092,0.18,13.492,0.77776
K00139.02,CONFIRMED,3.341799486,2.9254,178.2,0.426,48.8,1.67,1356.0,798.41,0.0451,86.96,0.01238,5873.0,4.293,1.235,1.092,0.18,13.492,0.88106
K00142.01,CONFIRMED,10.916108342,3.6496,1479.0,0.7699,302.2,3.93,758.0,78.19,0.098,87.09,0.038633,5575.0,4.521,0.932,1.051,0.36,13.113,0.64466
K00144.01,CONFIRMED,4.176254191,3.6716,1360.1,0.715,249.7,3.07,876.0,139.48,0.0483,83.75,0.036246,4957.0,4.594,0.776,0.867,0.26,13.698,0.30785
K00148.01,CONFIRMED,4.77800306,2.7361,473.0,0.02,115.4,1.85,932.0,177.79,0.0528,89.91,0.019376,5192.0,4.489,0.873,0.856,0.18,13.04,2.0886
K00148.02,CONFIRMED,9.673958488,3.2641,952.7,0.194,178.0,2.63,736.0,69.42,0.0845,89.51,0.027629,5192.0,4.489,0.873,0.856,0.18,13.04,2.41318
K00148.03,CONFIRMED,42.89645024,5.6897,555.3,0.007,66.8,2.0,448.0,9.54,0.2279,89.99,0.02097,5192.0,4.489,0.873,0.856,0.18,13.04,2.09055
K00149.01,CONFIRMED,14.55730897,7.7643,956.9,0.036,200.0,4.32,879.0,141.0,0.1186,89.86,0.028038,5774.0,4.159,1.412,1.048,0.14,13.397,0.28517
K00150.01,CONFIRMED,8.408878137,3.4967,798.9,0.018,147.2,2.28,809.0,101.22,0.0744,89.95,0.025693,5551.0,4.508,0.812,0.776,-0.42,13.771,1.79186
K00150.02,CONFIRMED,28.5742692,4.9427,824.9,0.068,97.1,2.32,538.0,19.83,0.1681,89.91,0.026109,5551.0,4.508,0.812,0.776,-0.42,13.771,2.14286
K00152.01,CONFIRMED,52.09081627,8.6388,2894.1,0.065,243.5,7.14,592.0,29.07,0.2822,89.92,0.049363,6198.0,4.237,1.324,1.101,-0.04,13.914,0.78307
K00152.02,CONFIRMED,27.40229859,6.8491,747.5,0.022,79.3,3.63,734.0,68.46,0.1839,89.96,0.025079,6198.0,4.237,1.324,1.101,-0.04,13.914,0.77467
K00152.03,CONFIRMED,13.48457668,5.0197,653.5,0.011,80.8,3.39,929.0,176.29,0.1146,89.97,0.023452,6198.0,4.237,1.324,1.101,-0.04,13.914,0.96491
K00152.04,CONFIRMED,81.0637895,3.001,476.0,0.584,19.4,3.01,511.0,16.12,0.379,89.81,0.020793,6198.0,4.237,1.324,1.101,-0.04,13.914,14.84249
K00153.01,CONFIRMED,8.925079516,2.6766,977.5,0.74,135.8,2.36,628.0,36.89,0.0763,87.69,0.031128,4728.0,4.628,0.693,0.768,0.04,13.461,1.46032
K00153.02,CONFIRMED,4.75400072,2.5394,748.7,0.672,141.4,2.0,775.0,85.23,0.0502,86.54,0.026463,4728.0,4.628,0.693,0.768,0.04,13.461,1.15331
K00155.01,CONFIRMED,5.660669429,4.6483,737.8,0.477,201.1,3.24,1115.0,365.53,0.0606,86.77,0.02533,5746.0,4.266,1.173,0.927,-0.08,13.494,0.35934
K00156.01,CONFIRMED,8.041347775,2.6332,591.0,0.26,77.5,1.29,507.0,15.59,0.0648,89.36,0.02196,3980.0,4.722,0.54,0.56,-0.2,13.738,3.59149
K00156.02,CONFIRMED,5.188563677,2.3683,358.7,0.179,56.4,1.0,586.0,27.95,0.0484,89.39,0.017039,3980.0,4.722,0.54,0.56,-0.2,13.738,3.31186
K00156.03,CONFIRMED,11.776132317,2.8971,1430.8,0.54,163.5,2.08,446.0,9.37,0.0836,88.87,0.035355,3980.0,4.722,0.54,0.56,-0.2,13.738,2.81699
K00157.01,CONFIRMED,13.02493307,4.5706,778.4,0.004,119.3,2.88,786.0,90.1,0.1055,89.99,0.025235,5657.0,4.364,1.046,0.921,0.0,13.709,1.24113
K00157.02,CONFIRMED,22.687155,5.4921,960.0,0.023,122.8,3.2,653.0,42.95,0.1528,89.96,0.028022,5657.0,4.364,1.046,0.921,0.0,13.709,1.25461
K00157.03,CONFIRMED,31.99552485,4.2817,1376.1,0.69,128.0,4.12,582.0,27.17,0.1921,89.1,0.036106,5657.0,4.364,1.046,0.921,0.0,13.709,1.58753
K00157.04,CONFIRMED,46.6856205,6.3794,588.8,0.217,59.0,2.52,513.0,16.41,0.2472,89.78,0.022055,5657.0,4.364,1.046,0.921,0.0,13.709,1.51087
K00157.05,CONFIRMED,118.3786735,9.5574,1083.3,0.011,83.1,3.4,376.0,4.75,0.4596,89.99,0.029761,5657.0,4.364,1.046,0.921,0.0,13.709,1.24871
K00157.06,CONFIRMED,10.30401132,4.2246,316.1,0.017,53.8,1.84,849.0,122.98,0.0903,89.95,0.016083,5657.0,4.364,1.046,0.921,0.0,13.709,1.21036
K00159.01,CONFIRMED,8.99088621,4.2447,469.7,0.77,93.6,2.78,960.0,200.35,0.0856,85.95,0.021706,5881.0,4.315,1.171,1.032,0.07,13.431,0.30277
K00159.02,CONFIRMED,2.403640701,1.4012,74.9,0.918,16.3,1.24,1489.0,1164.85,0.0355,80.55,0.009671,5881.0,4.315,1.171,1.032,0.07,13.431,0.5729
K00161.01,CONFIRMED,3.105507835,1.7458,904.6,0.799,178.6,2.68,980.0,217.91,0.0399,84.85,0.030988,4989.0,4.585,0.791,0.878,0.3,13.341,1.38116
K00162.01,CONFIRMED,14.00640392,4.6919,716.4,0.568,109.3,3.11,807.0,100.09,0.1126,88.33,0.025312,5788.0,4.323,1.124,0.969,0.0,13.837,0.71331
K00163.01,CONFIRMED,11.1199028,3.3759,636.3,0.72,100.3,2.08,649.0,42.07,0.0911,87.75,0.024835,5078.0,4.581,0.766,0.816,0.0,13.536,0.94776
K00165.01,CONFIRMED,13.22175358,2.7884,876.5,0.451,93.6,2.38,640.0,39.56,0.1032,89.23,0.027249,5211.0,4.556,0.799,0.838,0.0,13.938,4.04712
K00166.01,CONFIRMED,12.49340725,2.2614,715.7,0.594,76.2,2.2,649.0,42.08,0.0994,89.04,0.025332,5207.0,4.561,0.795,0.84,0.0,13.575,5.32867
K00167.01,CONFIRMED,4.919584997,4.1988,425.7,0.243,132.0,2.86,1312.0,702.13,0.0605,88.43,0.019011,6236.0,4.246,1.378,1.224,0.12,13.273,0.54735
K00168.01,CONFIRMED,10.74241765,6.0633,415.2,0.034,95.4,3.06,1008.0,243.94,0.0965,89.86,0.018486,5761.0,4.091,1.518,1.036,0.06,13.438,0.42989
K00168.02,CONFIRMED,15.27443889,6.0765,206.7,0.153,40.3,2.17,896.0,152.62,0.122,89.54,0.013073,5761.0,4.091,1.518,1.036,0.06,13.438,0.57757
K00168.03,CONFIRMED,7.10695741,5.1462,131.0,0.079,33.8,1.72,1157.0,422.8,0.0733,89.57,0.01039,5761.0,4.091,1.518,1.036,0.06,13.438,0.45155
K00171.01,CONFIRMED,5.968724048,3.651,510.6,0.166,107.1,3.26,1251.0,579.9,0.067,89.25,0.020737,6122.0,4.173,1.439,1.123,0.02,13.717,1.06053
K00171.02,CONFIRMED,13.07141889,3.0946,251.1,0.751,32.0,2.47,964.0,203.87,0.113,88.05,0.015742,6122.0,4.173,1.439,1.123,0.02,13.717,1.19056
K00172.01,CONFIRMED,13.7223682,5.1231,571.1,0.009,97.9,2.23,746.0,73.16,0.1048,89.98,0.021681,5637.0,4.399,0.943,0.813,-0.3,13.749,0.91895
K00172.02,CONFIRMED,242.467406,12.808,340.3,0.173,23.2,1.73,286.0,1.59,0.7106,89.93,0.016782,5637.0,4.399,0.943,0.813,-0.3,13.749,0.97923
K00173.01,CONFIRMED,10.06083238,4.5718,460.2,0.672,86.4,2.58,899.0,154.16,0.0894,87.02,0.020765,5705.0,4.297,1.14,0.939,0.0,13.844,0.40512
K00174.01,CONFIRMED,56.35407916,3.4449,1037.0,0.835,59.4,2.59,352.0,3.63,0.2537,89.37,0.033885,4802.0,4.582,0.701,0.686,-0.22,13.779,2.63903
K00176.01,CONFIRMED,30.22910274,6.6751,443.4,0.77,71.7,3.49,755.0,76.88,0.2072,88.1,0.021046,6325.0,4.188,1.518,1.296,0.16,13.432,0.25832
K00177.01,CONFIRMED,21.06075303,5.2472,301.2,0.176,54.4,1.78,669.0,47.39,0.1463,89.67,0.015768,5706.0,4.382,1.034,0.94,0.0,13.182,1.23168
K00179.01,CONFIRMED,20.74028645,10.3939,1023.3,0.431,155.3,4.24,798.0,95.68,0.154,88.27,0.029861,6226.0,4.264,1.299,1.129,0.0,13.955,0.128
K00179.02,CONFIRMED,572.376632,24.42,1743.4,0.712,78.6,5.8,264.0,1.15,1.4062,89.7,0.040914,6226.0,4.264,1.299,1.129,0.0,13.955,0.14543
K00180.01,CONFIRMED,10.04556377,3.2027,671.4,0.075,66.5,2.19,766.0,81.61,0.0896,89.82,0.023478,5632.0,4.554,0.853,0.952,-0.04,13.024,2.74514
K00183.01,CONFIRMED,2.684328541,2.69382,18136.5,0.076,2833.1,12.73,1265.0,603.57,0.036,89.49,0.121923,5561.0,4.411,0.956,0.859,-0.1,14.29,1.63862
K00186.01,CONFIRMED,3.24325988,3.03318,16450.9,0.117,1586.2,12.91,1243.0,563.17,0.0433,89.27,0.116687,5823.0,4.438,1.013,1.027,0.1,14.952,1.3532
K00188.01,CONFIRMED,3.797018259,2.2608,14431.2,0.321,1549.0,10.07,982.0,219.64,0.0457,88.65,0.108759,5167.0,4.527,0.848,0.883,0.24,14.741,3.3259
K00189.01,CONFIRMED,30.360445359,6.0134,21124.7,0.359,1126.2,10.99,459.0,10.47,0.1725,89.5,0.131544,4939.0,4.541,0.765,0.74,-0.06,14.388,1.45568
K00191.01,CONFIRMED,15.358767771,4.1223,14638.1,0.487,812.6,10.89,662.0,45.46,0.1157,89.02,0.112441,5422.0,4.484,0.887,0.874,0.02,14.991,1.85072
K00191.02,CONFIRMED,2.418406841,2.0744,665.4,0.018,69.1,2.25,1226.0,535.84,0.0337,89.89,0.023206,5422.0,4.484,0.887,0.874,0.02,14.991,2.46233
K00191.04,CONFIRMED,38.6520796,5.607,566.5,0.038,24.8,2.07,487.0,13.28,0.2141,89.96,0.021372,5422.0,4.484,0.887,0.874,0.02,14.991,1.9665
K00192.01,CONFIRMED,10.290994129,4.28889,9655.7,0.049,1245.7,13.43,996.0,233.08,0.0906,89.86,0.089546,5803.0,4.134,1.373,0.937,-0.18,14.221,1.42075
K00194.01,CONFIRMED,3.120828136,2.1878,16456.0,0.784,113.5,14.16,1303.0,680.79,0.0428,84.95,0.130153,6122.0,4.471,0.996,1.07,-0.1,14.804,1.37644
K00195.01,CONFIRMED,3.217518511,2.11481,14319.4,0.638,1287.4,11.38,1185.0,464.73,0.041,86.57,0.115425,5720.0,4.473,0.903,0.882,-0.22,14.835,2.21495
