iso3,country,year,region,income,population,gdp_pc_ppp,fertility,life_exp,u5_mort,urban_pct
LKA,Sri Lanka,2022,South Asia,Upper middle income,22181000,13249.0650505201,1.984,77.3,6.3,19.9877933196367
KNA,St. Kitts and Nevis,2022,Latin America & Caribbean,High income,46709,29749.8700864823,1.512,70.313,16.8,31.6156404983167
LCA,St. Lucia,2022,Latin America & Caribbean,Upper middle income,178781,22811.2524480383,1.387,72.67,17.7,29.097678526676
VCT,St. Vincent and the Grenadines,2022,Latin America & Caribbean,Upper middle income,102046,16835.023514541,1.791,71.191,12.3,47.585897833353
SDN,Sudan,2022,Sub-Saharan Africa,Low income,49383346,3132.0771484375,4.384,65.695,51,34.7209852053086
SUR,Suriname,2022,Latin America & Caribbean,Upper middle income,623164,18742.5873760369,2.274,73.254,16.8,65.8985443115234
SWE,Sweden,2022,Europe & Central Asia,High income,10486941,62544.5002248644,1.53,83.0585365853659,2.5,88.4038576504809
CHE,Switzerland,2022,Europe & Central Asia,High income,8777088,85762.2829174304,1.39,83.6048780487805,3.9,84.9206266284521
SYR,Syrian Arab Republic,2022,"Middle East, North Africa, Afghanistan & Pakistan",Low income,22462173,4579.43973633341,2.746,72.79,20.7,72.6124992370605
TJK,Tajikistan,2022,Europe & Central Asia,Lower middle income,10182222,4213.75618362687,3.127,71.562,29.4,26.1957126615618
TZA,Tanzania,2022,Sub-Saharan Africa,Lower middle income,64711821,3546.98095703125,4.671,66.879,40.1,34.8234736377147
THA,Thailand,2022,East Asia & Pacific,Upper middle income,71735329,20768.4800093577,1.221,75.291,9.5,59.742374420166
TLS,Timor-Leste,2022,East Asia & Pacific,Lower middle income,1369295,5348.49182701353,2.801,67.368,50.7,28.5857292288968
TGO,Togo,2022,Sub-Saharan Africa,Lower middle income,8068616,3086.40878742334,4.253183,62.292,60,42.7332327975627
TON,Tonga,2022,East Asia & Pacific,Upper middle income,105042,6811.48234641523,3.171,72.635,10.1,21.147219451842
TTO,Trinidad and Tobago,2022,Latin America & Caribbean,High income,1365805,30784.1112580356,1.544,73.331,19.9,53.9474037904998
TUN,Tunisia,2022,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12119334,12712.22345453,1.847,76.05,13.9,69.707138648303
TUR,Turkiye,2022,Europe & Central Asia,Upper middle income,84979913,33520.8111384208,1.63,77.591,10.2,89.0381164550781
TKM,Turkmenistan,2022,Europe & Central Asia,Upper middle income,7230193,16943.6046037141,2.728,69.913,41.1,47.0592103414926
TCA,Turks and Caicos Islands,2022,Latin America & Caribbean,High income,45847,28209.6242536079,1.477,77.918,5,93.6922471653237
TUV,Tuvalu,2022,East Asia & Pacific,Upper middle income,9992,5044.53984578911,3.244,66.852,20.5,63.3065768081154
UGA,Uganda,2022,Sub-Saharan Africa,Low income,47312719,2724.90609568409,4.388,67.675,50,29.9251969709665
UKR,Ukraine,2022,Europe & Central Asia,Upper middle income,41048766,13787.12109375,0.897,72.658,8.5,69.42345912103
ARE,United Arab Emirates,2022,"Middle East, North Africa, Afghanistan & Pakistan",High income,10074977,70075.63837395,1.148,80.487,5.3,85.5147347682487
GBR,United Kingdom,2022,Europe & Central Asia,High income,67636000,53979.7679116234,1.56,81.0112195121951,4.5,83.0753982997505
USA,United States,2022,North America,High income,333996304,72828.7430907189,1.6565,77.4341463414634,6.5,80.0324978239707
URY,Uruguay,2022,Latin America & Caribbean,High income,3390913,30840.0709827676,1.425,76.468,7.3,95.4977416992188
UZB,Uzbekistan,2022,Europe & Central Asia,Lower middle income,34938955,10091.3877869999,3.396,72.147,14.1,50.9847412109375
VUT,Vanuatu,2022,East Asia & Pacific,Lower middle income,313046,3658.51871182046,3.647,71.302,17.8,22.2541249733107
VNM,Viet Nam,2022,East Asia & Pacific,Upper middle income,99680655,12979.7638983711,1.927,74.502,18.4,37.5478515625
PSE,West Bank and Gaza,2022,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5043612,5753.08395899307,3.375,76.662,14.1,86.5961423216016
ZMB,Zambia,2022,Sub-Saharan Africa,Lower middle income,20152938,3585.12379084347,4.175,65.279,49.5,44.5988511178469
ZWE,Zimbabwe,2022,Sub-Saharan Africa,Lower middle income,16069056,5036.78317732239,3.767,62.36,64,38.7055207169041
